EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1631709008.054760,143653.000,23486,2,EA,1,100,0.029224
1631709008.054760,143653.000,23486,2,EA,1,100,0.029224
1631709008.119887,143718.000,23505,1,EA,1,100,0.029228
1631709008.185515,143783.500,23524,2,EA,1,100,0.029226
1631709008.251143,143849.000,23524,2,EA,1,100,0.029225
1631709008.315269,143913.000,23542,2,EA,1,100,0.029220
1631709008.379394,143977.000,23542,2,EA,1,100,0.029222
1631709008.445524,144043.000,23559,1,EA,1,100,0.029226
1631709008.510651,144108.000,23577,2,EA,1,100,0.029224
1631709008.575778,144173.000,23577,2,EA,1,100,0.029225
1631709008.641907,144239.000,23596,1,EA,1,100,0.029222
1631709008.707034,144304.000,23614,2,EA,1,100,0.029225
1631709008.772162,144369.000,23614,2,EA,1,100,0.029231
1631709008.837289,144434.000,23631,1,EA,1,100,0.029223
1631709008.902917,144499.500,23649,2,EA,1,100,0.029220
1631709008.968545,144565.000,23649,2,EA,1,100,0.029225
1631709009.034675,144631.000,23668,1,EA,1,100,0.029218
1631709009.100303,144696.500,23687,2,EA,1,100,0.029216
1631709009.165931,144762.000,23687,2,EA,1,100,0.029229
1631709009.231560,144827.500,23706,2,EA,1,100,0.029226
1631709009.297188,144893.000,23706,2,EA,1,100,0.029228
1631709009.361313,144957.000,23722,1,EA,1,100,0.029232
1631709009.426440,145022.000,23741,2,EA,1,100,0.029230
1631709009.491568,145087.000,23741,2,EA,1,100,0.029234
1631709009.556695,145152.000,23759,1,EA,1,100,0.029221
1631709009.622824,145218.000,23778,2,EA,1,100,0.029219
1631709009.688953,145284.000,23778,2,EA,1,100,0.029226
1631709009.754081,145349.000,23794,1,EA,1,100,0.029219
1631709009.819709,145414.500,23813,2,EA,1,100,0.029224
1631709009.885337,145480.000,23813,2,EA,1,100,0.029227
1631709009.950464,145545.000,23831,1,EA,1,100,0.029227
1631709010.016093,145610.500,23851,2,EA,1,100,0.029224
1631709010.081721,145676.000,23851,2,EA,1,100,0.029226
1631709010.147349,145741.500,23869,2,EA,1,100,0.029222
1631709010.212977,145807.000,23869,2,EA,1,100,0.029222
1631709010.279107,145873.000,23886,1,EA,1,100,0.029224
1631709010.343733,145937.500,23904,2,EA,1,100,0.029234
1631709010.408359,146002.000,23904,2,EA,1,100,0.029231
1631709010.473486,146067.000,23923,1,EA,1,100,0.029236
1631709010.539115,146132.500,23941,2,EA,1,100,0.029229
1631709010.604743,146198.000,23941,2,EA,1,100,0.029234
1631709010.669870,146263.000,23958,1,EA,1,100,0.029221
1631709010.735498,146328.500,23976,2,EA,1,100,0.029223
1631709010.801127,146394.000,23976,2,EA,1,100,0.029226
1631709010.867256,146460.000,23995,1,EA,1,100,0.029216
1631709010.932383,146525.000,24013,2,EA,1,100,0.029221
1631709010.997511,146590.000,24013,2,EA,1,100,0.029242
1631709011.062638,146655.000,24033,1,EA,1,100,0.029230
1631709011.128266,146720.500,24049,2,EA,1,100,0.029216
1631709011.193894,146786.000,24049,2,EA,1,100,0.029226
1631709011.259523,146851.500,24068,2,EA,1,100,0.029218
1631709011.325151,146917.000,24068,2,EA,1,100,0.029219
1631709011.390278,146982.000,24086,1,EA,1,100,0.029226
1631709011.455405,147047.000,24105,2,EA,1,100,0.029230
1631709011.520533,147112.000,24105,2,EA,1,100,0.029228
1631709011.586662,147178.000,24121,1,EA,1,100,0.029232
1631709011.652290,147243.500,24140,2,EA,1,100,0.029225
1631709011.717918,147309.000,24140,2,EA,1,100,0.029225
1631709011.784048,147375.000,24158,1,EA,1,100,0.029218
1631709011.849676,147440.500,24177,2,EA,1,100,0.029221
1631709011.915304,147506.000,24177,2,EA,1,100,0.029228
1631709011.980431,147571.000,24193,1,EA,1,100,0.029228
1631709012.045058,147635.500,24213,2,EA,1,100,0.029225
1631709012.109684,147700.000,24213,2,EA,1,100,0.029220
1631709012.175813,147766.000,24231,1,EA,1,100,0.029228
1631709012.240941,147831.000,24250,2,EA,1,100,0.029225
1631709012.306068,147896.000,24250,2,EA,1,100,0.029218
1631709012.372197,147962.000,24271,2,EA,1,100,0.029228
1631709012.438326,148028.000,24271,2,EA,1,100,0.029225
1631709012.503453,148093.000,24290,2,EA,1,100,0.029233
1631709012.568581,148158.000,24290,2,EA,1,100,0.029228
1631709012.634710,148224.000,24306,1,EA,1,100,0.029230
1631709012.700338,148289.500,24325,2,EA,1,100,0.029227
1631709012.765967,148355.000,24325,2,EA,1,100,0.029226
1631709012.830092,148419.000,24343,1,EA,1,100,0.029217
1631709012.896221,148485.000,24362,2,EA,1,100,0.029226
1631709012.962350,148551.000,24362,2,EA,1,100,0.029227
1631709013.027478,148616.000,24379,1,EA,1,100,0.029227
1631709013.092605,148681.000,24398,2,EA,1,100,0.029225
1631709013.157732,148746.000,24398,2,EA,1,100,0.029227
1631709013.223861,148812.000,24416,1,EA,1,100,0.029227
1631709013.288989,148877.000,24435,2,EA,1,100,0.029224
1631709013.354116,148942.000,24435,2,EA,1,100,0.029223
1631709013.420245,149008.000,24453,2,EA,1,100,0.029220
1631709013.486374,149074.000,24453,2,EA,1,100,0.029227
1631709013.552504,149140.000,24470,1,EA,1,100,0.029222
1631709013.617130,149204.500,24488,2,EA,1,100,0.029228
1631709013.681756,149269.000,24488,2,EA,1,100,0.029227
1631709013.746883,149334.000,24507,1,EA,1,100,0.029234
1631709013.812011,149399.000,24525,2,EA,1,100,0.029232
1631709013.877138,149464.000,24525,2,EA,1,100,0.029220
1631709013.942265,149529.000,24542,1,EA,1,100,0.029222
1631709014.008394,149595.000,24561,2,EA,1,100,0.029225
1631709014.074524,149661.000,24561,2,EA,1,100,0.029226
1631709014.139651,149726.000,24580,1,EA,1,100,0.029227
1631709014.205279,149791.500,24598,2,EA,1,100,0.029224
1631709014.270908,149857.000,24598,2,EA,1,100,0.029222
1631709014.336035,149922.000,24617,2,EA,1,100,0.029217
1631709014.401162,149987.000,24617,2,EA,1,100,0.029224
1631709014.465287,150051.000,24633,1,EA,1,100,0.029227
1631709014.531417,150117.000,24652,2,EA,1,100,0.029219
1631709014.597546,150183.000,24652,2,EA,1,100,0.029228
1631709014.661671,150247.000,24670,1,EA,1,100,0.029227
1631709014.726799,150312.000,24689,2,EA,1,100,0.029225
1631709014.791926,150377.000,24689,2,EA,1,100,0.029226
1631709014.858055,150443.000,24705,1,EA,1,100,0.029227
1631709014.922681,150507.500,24724,2,EA,1,100,0.029222
1631709014.987308,150572.000,24724,2,EA,1,100,0.029228
1631709015.053437,150638.000,24743,1,EA,1,100,0.029225
1631709015.119566,150704.000,24762,2,EA,1,100,0.029231
1631709015.185695,150770.000,24762,2,EA,1,100,0.029227
1631709015.249820,150834.000,24780,1,EA,1,100,0.029220
1631709015.315449,150899.500,24797,2,EA,1,100,0.029224
1631709015.381077,150965.000,24797,2,EA,1,100,0.029223
1631709015.445703,151029.500,24815,2,EA,1,100,0.029225
1631709015.510330,151094.000,24815,2,EA,1,100,0.029225
1631709015.576459,151160.000,24834,1,EA,1,100,0.029225
1631709015.642087,151225.500,24852,2,EA,1,100,0.029225
