EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1631709011.791061,147382.000,24155,3,PI,1,100,158636
1631709011.829136,147420.000,24155,3,PI,1,100,158608
1631709011.870216,147461.000,24174,2,PI,1,100,158589
1631709011.911296,147502.000,24174,2,PI,1,100,158552
1631709011.949037,147539.667,24190,3,PI,1,100,158570
1631709011.986777,147577.333,24190,3,PI,1,100,158577
1631709012.024518,147615.000,24190,3,PI,1,100,158590
1631709012.065598,147656.000,24210,2,PI,1,100,158589
1631709012.106678,147697.000,24210,2,PI,1,100,158593
1631709012.144753,147735.000,24228,3,PI,1,100,158601
1631709012.182827,147773.000,24228,3,PI,1,100,158626
1631709012.220901,147811.000,24228,3,PI,1,100,158637
1631709012.259310,147849.333,24247,3,PI,1,100,158657
1631709012.297718,147887.667,24247,3,PI,1,100,158666
1631709012.336127,147926.000,24247,3,PI,1,100,158686
1631709012.379879,147969.667,24268,3,PI,1,100,158699
1631709012.423631,148013.333,24268,3,PI,1,100,158728
1631709012.467383,148057.000,24268,3,PI,1,100,158723
1631709012.499947,148089.500,24287,2,PI,1,100,158668
1631709012.532510,148122.000,24287,2,PI,1,100,158659
1631709012.576262,148165.667,24303,3,PI,1,100,158629
1631709012.620015,148209.333,24303,3,PI,1,100,158640
1631709012.663767,148253.000,24303,3,PI,1,100,158633
1631709012.696331,148285.500,24322,2,PI,1,100,158631
1631709012.728894,148318.000,24322,2,PI,1,100,158656
1631709012.771978,148361.000,24340,3,PI,1,100,158656
1631709012.815063,148404.000,24340,3,PI,1,100,158674
1631709012.858147,148447.000,24340,3,PI,1,100,158684
1631709012.897223,148486.000,24359,3,PI,1,100,158691
1631709012.936299,148525.000,24359,3,PI,1,100,158678
1631709012.975376,148564.000,24359,3,PI,1,100,158716
1631709013.015955,148604.500,24376,2,PI,1,100,158734
1631709013.056534,148645.000,24376,2,PI,1,100,158746
1631709013.094943,148683.333,24395,3,PI,1,100,158752
1631709013.133351,148721.667,24395,3,PI,1,100,158745
1631709013.171760,148760.000,24395,3,PI,1,100,158709
1631709013.212339,148800.500,24413,2,PI,1,100,158696
1631709013.252918,148841.000,24413,2,PI,1,100,158689
1631709013.290992,148879.000,24432,3,PI,1,100,158663
1631709013.329067,148917.000,24432,3,PI,1,100,158682
1631709013.367141,148955.000,24432,3,PI,1,100,158696
1631709013.405884,148993.667,24450,3,PI,1,100,158702
1631709013.444626,149032.333,24450,3,PI,1,100,158710
1631709013.483368,149071.000,24450,3,PI,1,100,158699
1631709013.524449,149112.000,24467,2,PI,1,100,158711
1631709013.565529,149153.000,24467,2,PI,1,100,158750
1631709013.602936,149190.333,24485,3,PI,1,100,158756
1631709013.640342,149227.667,24485,3,PI,1,100,158777
1631709013.677748,149265.000,24485,3,PI,1,100,158772
1631709013.719330,149306.500,24504,2,PI,1,100,158779
1631709013.760911,149348.000,24504,2,PI,1,100,158820
1631709013.798651,149385.667,24522,3,PI,1,100,158797
1631709013.836392,149423.333,24522,3,PI,1,100,158744
1631709013.874132,149461.000,24522,3,PI,1,100,158718
1631709013.912540,149499.333,24539,3,PI,1,100,158711
1631709013.950949,149537.667,24539,3,PI,1,100,158719
1631709013.989357,149576.000,24539,3,PI,1,100,158704
1631709014.030438,149617.000,24558,2,PI,1,100,158730
1631709014.071518,149658.000,24558,2,PI,1,100,158730
1631709014.109258,149695.667,24577,3,PI,1,100,158727
1631709014.146999,149733.333,24577,3,PI,1,100,158753
1631709014.184739,149771.000,24577,3,PI,1,100,158724
1631709014.225819,149812.000,24595,2,PI,1,100,158760
1631709014.266900,149853.000,24595,2,PI,1,100,158783
1631709014.304974,149891.000,24614,3,PI,1,100,158797
1631709014.343049,149929.000,24614,3,PI,1,100,158824
1631709014.381123,149967.000,24614,3,PI,1,100,158831
1631709014.418863,150004.667,24630,3,PI,1,100,158822
1631709014.456604,150042.333,24630,3,PI,1,100,158781
1631709014.494344,150080.000,24630,3,PI,1,100,158736
1631709014.535925,150121.500,24649,2,PI,1,100,158733
1631709014.577507,150163.000,24649,2,PI,1,100,158726
1631709014.615247,150200.667,24667,3,PI,1,100,158710
1631709014.652987,150238.333,24667,3,PI,1,100,158745
1631709014.690728,150276.000,24667,3,PI,1,100,158731
1631709014.731307,150316.500,24686,2,PI,1,100,158749
1631709014.771887,150357.000,24686,2,PI,1,100,158748
1631709014.809961,150395.000,24702,3,PI,1,100,158737
1631709014.848035,150433.000,24702,3,PI,1,100,158787
1631709014.886110,150471.000,24702,3,PI,1,100,158791
1631709014.926689,150511.500,24721,2,PI,1,100,158830
1631709014.967268,150552.000,24721,2,PI,1,100,158830
1631709015.005677,150590.333,24740,3,PI,1,100,158814
1631709015.044085,150628.667,24740,3,PI,1,100,158783
1631709015.082494,150667.000,24740,3,PI,1,100,158727
1631709015.124075,150708.500,24759,2,PI,1,100,158717
1631709015.165656,150750.000,24759,2,PI,1,100,158696
1631709015.203397,150787.667,24777,3,PI,1,100,158650
1631709015.241137,150825.333,24777,3,PI,1,100,158670
1631709015.278877,150863.000,24777,3,PI,1,100,158660
1631709015.322295,150906.333,24794,3,PI,1,100,158638
1631709015.365714,150949.667,24794,3,PI,1,100,158601
1631709015.409132,150993.000,24794,3,PI,1,100,158565
1631709015.441695,151025.500,24812,2,PI,1,100,158633
1631709015.474259,151058.000,24812,2,PI,1,100,158673
1631709015.518345,151102.000,24831,3,PI,1,100,158651
1631709015.562432,151146.000,24831,3,PI,1,100,158638
1631709015.606518,151190.000,24831,3,PI,1,100,158665
1631709015.639081,151222.500,24849,2,PI,1,100,158608
1631709015.671645,151255.000,24849,2,PI,1,100,158528
1631709015.715063,151298.333,24866,3,PI,1,100,158523
1631709015.758481,151341.667,24866,3,PI,1,100,158538
1631709015.801899,151385.000,24866,3,PI,1,100,158549
1631709015.840308,151423.333,24884,3,PI,1,100,158547
1631709015.878716,151461.667,24884,3,PI,1,100,158542
1631709015.917125,151500.000,24884,3,PI,1,100,158515
1631709015.956702,151539.500,24904,2,PI,1,100,158502
1631709015.996279,151579.000,24904,2,PI,1,100,158482
1631709016.034688,151617.333,24922,3,PI,1,100,158471
1631709016.073096,151655.667,24922,3,PI,1,100,158461
1631709016.111505,151694.000,24922,3,PI,1,100,158478
1631709016.152585,151735.000,24941,2,PI,1,100,158490
1631709016.193665,151776.000,24941,2,PI,1,100,158432
1631709016.231740,151814.000,24957,3,PI,1,100,158375
1631709016.269814,151852.000,24957,3,PI,1,100,158358
1631709016.307888,151890.000,24957,3,PI,1,100,158341
1631709016.346297,151928.333,24976,3,PI,1,100,158317
1631709016.384705,151966.667,24976,3,PI,1,100,158296
1631709016.423113,152005.000,24976,3,PI,1,100,158310
1631709016.463693,152045.500,24994,2,PI,1,100,158334
1631709016.504272,152086.000,24994,2,PI,1,100,158351
1631709016.542346,152124.000,25013,3,PI,1,100,158366
1631709016.580421,152162.000,25013,3,PI,1,100,158318
1631709016.618495,152200.000,25013,3,PI,1,100,158311
1631709016.660077,152241.500,25029,2,PI,1,100,158272
1631709016.701658,152283.000,25029,2,PI,1,100,158214
1631709016.739398,152320.667,25048,3,PI,1,100,158251
1631709016.777139,152358.333,25048,3,PI,1,100,158313
1631709016.814879,152396.000,25048,3,PI,1,100,158409
1631709016.853287,152434.333,25066,3,PI,1,100,158437
1631709016.891696,152472.667,25066,3,PI,1,100,158468
1631709016.930104,152511.000,25066,3,PI,1,100,158513
1631709016.971184,152552.000,25086,2,PI,1,100,158579
1631709017.012265,152593.000,25086,2,PI,1,100,158649
1631709017.049671,152630.333,25102,3,PI,1,100,158722
1631709017.087078,152667.667,25102,3,PI,1,100,158797
1631709017.124484,152705.000,25102,3,PI,1,100,158850
1631709017.166065,152746.500,25121,2,PI,1,100,158881
1631709017.207647,152788.000,25121,2,PI,1,100,158908
1631709017.245721,152826.000,25139,3,PI,1,100,158911
1631709017.283795,152864.000,25139,3,PI,1,100,158872
1631709017.321870,152902.000,25139,3,PI,1,100,158831
