EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1631709007.819300,143418.000,23471,1,PG,1,100,9613
1631709007.943542,143542.000,23485,2,PG,1,100,9530
1631709008.067785,143666.000,23485,2,PG,1,100,9528
1631709008.100349,143698.500,23504,2,PG,1,100,9526
1631709008.132912,143731.000,23504,2,PG,1,100,9525
1631709008.176665,143774.667,23523,3,PG,1,100,9525
1631709008.220417,143818.333,23523,3,PG,1,100,9532
1631709008.264169,143862.000,23523,3,PG,1,100,9521
1631709008.301575,143899.333,23541,3,PG,1,100,9517
1631709008.338982,143936.667,23541,3,PG,1,100,9521
1631709008.376388,143974.000,23541,3,PG,1,100,9520
1631709008.417469,144015.000,23558,2,PG,1,100,9521
1631709008.458549,144056.000,23558,2,PG,1,100,9511
1631709008.496623,144094.000,23576,3,PG,1,100,9487
1631709008.534698,144132.000,23576,3,PG,1,100,9472
1631709008.572772,144170.000,23576,3,PG,1,100,9449
1631709008.613852,144211.000,23595,2,PG,1,100,9435
1631709008.654933,144252.000,23595,2,PG,1,100,9427
1631709008.692673,144289.667,23613,3,PG,1,100,9418
1631709008.730413,144327.333,23613,3,PG,1,100,9410
1631709008.768154,144365.000,23613,3,PG,1,100,9400
1631709008.806562,144403.333,23630,3,PG,1,100,9402
1631709008.844971,144441.667,23630,3,PG,1,100,9408
1631709008.883379,144480.000,23630,3,PG,1,100,9404
1631709008.924459,144521.000,23648,2,PG,1,100,9401
1631709008.965540,144562.000,23648,2,PG,1,100,9407
1631709009.004282,144600.667,23667,3,PG,1,100,9411
1631709009.043024,144639.333,23667,3,PG,1,100,9406
1631709009.081767,144678.000,23667,3,PG,1,100,9406
1631709009.119507,144715.667,23686,3,PG,1,100,9394
1631709009.157248,144753.333,23686,3,PG,1,100,9382
1631709009.194988,144791.000,23686,3,PG,1,100,9362
1631709009.236068,144832.000,23705,2,PG,1,100,9339
1631709009.277148,144873.000,23705,2,PG,1,100,9325
1631709009.314555,144910.333,23721,3,PG,1,100,9325
1631709009.351961,144947.667,23721,3,PG,1,100,9321
1631709009.389368,144985.000,23721,3,PG,1,100,9314
1631709009.430448,145026.000,23740,2,PG,1,100,9310
1631709009.471529,145067.000,23740,2,PG,1,100,9311
1631709009.509269,145104.667,23758,3,PG,1,100,9312
1631709009.547009,145142.333,23758,3,PG,1,100,9308
1631709009.584750,145180.000,23758,3,PG,1,100,9308
1631709009.623826,145219.000,23777,3,PG,1,100,9310
1631709009.662902,145258.000,23777,3,PG,1,100,9328
1631709009.701979,145297.000,23777,3,PG,1,100,9332
1631709009.742558,145337.500,23793,2,PG,1,100,9322
1631709009.783137,145378.000,23793,2,PG,1,100,9299
1631709009.821880,145416.667,23812,3,PG,1,100,9283
1631709009.860622,145455.333,23812,3,PG,1,100,9265
1631709009.899364,145494.000,23812,3,PG,1,100,9255
1631709009.939443,145534.000,23830,2,PG,1,100,9244
1631709009.979521,145574.000,23830,2,PG,1,100,9240
1631709010.017930,145612.333,23850,3,PG,1,100,9236
1631709010.056338,145650.667,23850,3,PG,1,100,9240
1631709010.094746,145689.000,23850,3,PG,1,100,9239
1631709010.135326,145729.500,23868,2,PG,1,100,9242
1631709010.175905,145770.000,23868,2,PG,1,100,9250
