Values
33916
33918
33922
33940
33950
33970
33985
34002
34020
34035
34065
34074
34089
34099
34115
34110
34040
33937
33871
33845
33828
33829
33846
33868
33883
33894
33921
33931
33939
33933
33921
33919
33921
33917
33922
33946
33952
33966
33982
34004
34021
34031
34056
34074
34086
34097
34105
34099
34049
33951
33877
33842
33829
33829
33847
33855
33870
33894
33909
33927
33930
33929
33925
33910
33914
33913
33924
33934
33949
33964
33977
33996
34012
34031
34049
34060
34077
34101
34112
34097
34025
33923
33864
33840
33829
33832
33836
33847
33856
33871
33897
33910
33908
33906
33910
33906
33904
33904
33910
33923
33934
33948
33969
33991
34007
34028
34032
34050
34075
34094
34098
34069
33984
33895
33842
33824
33815
33818
33824
33838
33856
33866
33891
33894
33909
33908
33896
33894
33897
33900
33908
33928
33940
33957
33969
33992
34004
34025
34051
34062
34076
34084
34100
34095
34022
33920
33861
33838
33830
33835
33844
33863
33881
33896
33911
33926
33935
33936
33921
33921
33917
33927
33930
33941
33951
33977
33987
34002
34017
34029
34053
34068
34079
34091
34109
34096
34042
33952
33887
33848
33830
33831
33839
33850
33860
33883
33906
33922
33933
33923
33911
33908
33899
33908
33921
33934
33945
33956
33972
33988
34011
34024
34049
34060
34077
34100
34113
34118
34082
33988
33903
33862
33837
33837
33839
33848
33857
33870
33888
33901
33912
33914
33916
33906
33906
33910
33916
33926
33931
33945
33966
33987
34001
34015
34038
34061
34073
34085
34099
34113
34089
34014
33920
33865
33846
33840
33846
33853
33866
33876
33890
33912
33931
33932
33938
33934
33927
33928
33932
33935
33946
33964
33978
33992
34013
34033
34053
34071
34089
34103
34114
34122
34129
34102
34013
33916
33881
33859
33863
33871
33884
33905
33919
33950
33968
33972
33968
33959
33949
33947
33948
33956
33968
33979
33991
34001
34022
34039
34054
34067
